measure,quantile,area,sex,age,geography,ethnic,value
Lx,2.50%,08 Manawatu-Wanganui region,Male,65-69 years,Regional council,Total,406661
Lx,2.50%,08 Manawatu-Wanganui region,Male,70-74 years,Regional council,Total,370299
Lx,2.50%,08 Manawatu-Wanganui region,Male,75-79 years,Regional council,Total,317534
Lx,2.50%,08 Manawatu-Wanganui region,Male,80-84 years,Regional council,Total,241052
Lx,2.50%,08 Manawatu-Wanganui region,Male,85-89 years,Regional council,Total,144061
Lx,2.50%,08 Manawatu-Wanganui region,Male,90 years and over,Regional council,Total,69500
Lx,50%,08 Manawatu-Wanganui region,Female,0 years,Regional council,Total,99521
Lx,50%,08 Manawatu-Wanganui region,Female,1-4 years,Regional council,Total,397718
Lx,50%,08 Manawatu-Wanganui region,Female,5-9 years,Regional council,Total,496846
Lx,50%,08 Manawatu-Wanganui region,Female,10-14 years,Regional council,Total,496536
Lx,50%,08 Manawatu-Wanganui region,Female,15-19 years,Regional council,Total,495926
Lx,50%,08 Manawatu-Wanganui region,Female,20-24 years,Regional council,Total,494905
Lx,50%,08 Manawatu-Wanganui region,Female,25-29 years,Regional council,Total,493753
Lx,50%,08 Manawatu-Wanganui region,Female,30-34 years,Regional council,Total,492481
Lx,50%,08 Manawatu-Wanganui region,Female,35-39 years,Regional council,Total,490875
Lx,50%,08 Manawatu-Wanganui region,Female,40-44 years,Regional council,Total,488609
Lx,50%,08 Manawatu-Wanganui region,Female,45-49 years,Regional council,Total,484960
Lx,50%,08 Manawatu-Wanganui region,Female,50-54 years,Regional council,Total,479043
Lx,50%,08 Manawatu-Wanganui region,Female,55-59 years,Regional council,Total,470426
Lx,50%,08 Manawatu-Wanganui region,Female,60-64 years,Regional council,Total,457964
Lx,50%,08 Manawatu-Wanganui region,Female,65-69 years,Regional council,Total,439853
Lx,50%,08 Manawatu-Wanganui region,Female,70-74 years,Regional council,Total,413037
Lx,50%,08 Manawatu-Wanganui region,Female,75-79 years,Regional council,Total,371870
Lx,50%,08 Manawatu-Wanganui region,Female,80-84 years,Regional council,Total,305958
Lx,50%,08 Manawatu-Wanganui region,Female,85-89 years,Regional council,Total,211565
Lx,50%,08 Manawatu-Wanganui region,Female,90 years and over,Regional council,Total,144005
Lx,50%,08 Manawatu-Wanganui region,Male,0 years,Regional council,Total,99488
Lx,50%,08 Manawatu-Wanganui region,Male,1-4 years,Regional council,Total,397564
Lx,50%,08 Manawatu-Wanganui region,Male,5-9 years,Regional council,Total,496566
Lx,50%,08 Manawatu-Wanganui region,Male,10-14 years,Regional council,Total,496145
Lx,50%,08 Manawatu-Wanganui region,Male,15-19 years,Regional council,Total,495113
Lx,50%,08 Manawatu-Wanganui region,Male,20-24 years,Regional council,Total,493102
Lx,50%,08 Manawatu-Wanganui region,Male,25-29 years,Regional council,Total,490575
Lx,50%,08 Manawatu-Wanganui region,Male,30-34 years,Regional council,Total,487814
Lx,50%,08 Manawatu-Wanganui region,Male,35-39 years,Regional council,Total,484748
Lx,50%,08 Manawatu-Wanganui region,Male,40-44 years,Regional council,Total,480865
Lx,50%,08 Manawatu-Wanganui region,Male,45-49 years,Regional council,Total,475190
Lx,50%,08 Manawatu-Wanganui region,Male,50-54 years,Regional council,Total,466272
Lx,50%,08 Manawatu-Wanganui region,Male,55-59 years,Regional council,Total,453389
Lx,50%,08 Manawatu-Wanganui region,Male,60-64 years,Regional council,Total,435410
Lx,50%,08 Manawatu-Wanganui region,Male,65-69 years,Regional council,Total,410743
Lx,50%,08 Manawatu-Wanganui region,Male,70-74 years,Regional council,Total,375133
Lx,50%,08 Manawatu-Wanganui region,Male,75-79 years,Regional council,Total,323227
Lx,50%,08 Manawatu-Wanganui region,Male,80-84 years,Regional council,Total,247757
Lx,50%,08 Manawatu-Wanganui region,Male,85-89 years,Regional council,Total,150483
Lx,50%,08 Manawatu-Wanganui region,Male,90 years and over,Regional council,Total,77192
Lx,97.50%,08 Manawatu-Wanganui region,Female,0 years,Regional council,Total,99600
Lx,97.50%,08 Manawatu-Wanganui region,Female,1-4 years,Regional council,Total,398072
Lx,97.50%,08 Manawatu-Wanganui region,Female,5-9 years,Regional council,Total,497304
Lx,97.50%,08 Manawatu-Wanganui region,Female,10-14 years,Regional council,Total,497012
Lx,97.50%,08 Manawatu-Wanganui region,Female,15-19 years,Regional council,Total,496425
Lx,97.50%,08 Manawatu-Wanganui region,Female,20-24 years,Regional council,Total,495462
Lx,97.50%,08 Manawatu-Wanganui region,Female,25-29 years,Regional council,Total,494380
Lx,97.50%,08 Manawatu-Wanganui region,Female,30-34 years,Regional council,Total,493164
Lx,97.50%,08 Manawatu-Wanganui region,Female,35-39 years,Regional council,Total,491625
Lx,97.50%,08 Manawatu-Wanganui region,Female,40-44 years,Regional council,Total,489465
Lx,97.50%,08 Manawatu-Wanganui region,Female,45-49 years,Regional council,Total,486023
Lx,97.50%,08 Manawatu-Wanganui region,Female,50-54 years,Regional council,Total,480442
Lx,97.50%,08 Manawatu-Wanganui region,Female,55-59 years,Regional council,Total,472272
Lx,97.50%,08 Manawatu-Wanganui region,Female,60-64 years,Regional council,Total,460280
Lx,97.50%,08 Manawatu-Wanganui region,Female,65-69 years,Regional council,Total,442781
Lx,97.50%,08 Manawatu-Wanganui region,Female,70-74 years,Regional council,Total,416899
Lx,97.50%,08 Manawatu-Wanganui region,Female,75-79 years,Regional council,Total,376753
Lx,97.50%,08 Manawatu-Wanganui region,Female,80-84 years,Regional council,Total,311657
Lx,97.50%,08 Manawatu-Wanganui region,Female,85-89 years,Regional council,Total,218158
Lx,97.50%,08 Manawatu-Wanganui region,Female,90 years and over,Regional council,Total,156304
Lx,97.50%,08 Manawatu-Wanganui region,Male,0 years,Regional council,Total,99573
Lx,97.50%,08 Manawatu-Wanganui region,Male,1-4 years,Regional council,Total,397935
Lx,97.50%,08 Manawatu-Wanganui region,Male,5-9 years,Regional council,Total,497064
Lx,97.50%,08 Manawatu-Wanganui region,Male,10-14 years,Regional council,Total,496668
Lx,97.50%,08 Manawatu-Wanganui region,Male,15-19 years,Regional council,Total,495663
Lx,97.50%,08 Manawatu-Wanganui region,Male,20-24 years,Regional council,Total,493766
Lx,97.50%,08 Manawatu-Wanganui region,Male,25-29 years,Regional council,Total,491383
Lx,97.50%,08 Manawatu-Wanganui region,Male,30-34 years,Regional council,Total,488806
Lx,97.50%,08 Manawatu-Wanganui region,Male,35-39 years,Regional council,Total,485930
Lx,97.50%,08 Manawatu-Wanganui region,Male,40-44 years,Regional council,Total,482233
Lx,97.50%,08 Manawatu-Wanganui region,Male,45-49 years,Regional council,Total,476804
Lx,97.50%,08 Manawatu-Wanganui region,Male,50-54 years,Regional council,Total,468321
Lx,97.50%,08 Manawatu-Wanganui region,Male,55-59 years,Regional council,Total,455980
Lx,97.50%,08 Manawatu-Wanganui region,Male,60-64 years,Regional council,Total,438559
Lx,97.50%,08 Manawatu-Wanganui region,Male,65-69 years,Regional council,Total,414574
Lx,97.50%,08 Manawatu-Wanganui region,Male,70-74 years,Regional council,Total,379745
Lx,97.50%,08 Manawatu-Wanganui region,Male,75-79 years,Regional council,Total,328792
Lx,97.50%,08 Manawatu-Wanganui region,Male,80-84 years,Regional council,Total,254058
Lx,97.50%,08 Manawatu-Wanganui region,Male,85-89 years,Regional council,Total,156891
Lx,97.50%,08 Manawatu-Wanganui region,Male,90 years and over,Regional council,Total,86229
Lx,2.50%,09 Wellington region,Female,0 years,Regional council,Total,99570
Lx,2.50%,09 Wellington region,Female,1-4 years,Regional council,Total,397972
Lx,2.50%,09 Wellington region,Female,5-9 years,Regional council,Total,497201
Lx,2.50%,09 Wellington region,Female,10-14 years,Regional council,Total,496934
Lx,2.50%,09 Wellington region,Female,15-19 years,Regional council,Total,496435
Lx,2.50%,09 Wellington region,Female,20-24 years,Regional council,Total,495612
Lx,2.50%,09 Wellington region,Female,25-29 years,Regional council,Total,494713
Lx,2.50%,09 Wellington region,Female,30-34 years,Regional council,Total,493692
Lx,2.50%,09 Wellington region,Female,35-39 years,Regional council,Total,492327
Lx,2.50%,09 Wellington region,Female,40-44 years,Regional council,Total,490426
Lx,2.50%,09 Wellington region,Female,45-49 years,Regional council,Total,487440
Lx,2.50%,09 Wellington region,Female,50-54 years,Regional council,Total,482806
Lx,2.50%,09 Wellington region,Female,55-59 years,Regional council,Total,475813
Lx,2.50%,09 Wellington region,Female,60-64 years,Regional council,Total,465287
Lx,2.50%,09 Wellington region,Female,65-69 years,Regional council,Total,449380
Lx,2.50%,09 Wellington region,Female,70-74 years,Regional council,Total,424529
Lx,2.50%,09 Wellington region,Female,75-79 years,Regional council,Total,383907
Lx,2.50%,09 Wellington region,Female,80-84 years,Regional council,Total,320212
Lx,2.50%,09 Wellington region,Female,85-89 years,Regional council,Total,225412
Lx,2.50%,09 Wellington region,Female,90 years and over,Regional council,Total,154473
Lx,2.50%,09 Wellington region,Male,0 years,Regional council,Total,99514
Lx,2.50%,09 Wellington region,Male,1-4 years,Regional council,Total,397714
Lx,2.50%,09 Wellington region,Male,5-9 years,Regional council,Total,496818
Lx,2.50%,09 Wellington region,Male,10-14 years,Regional council,Total,496489
Lx,2.50%,09 Wellington region,Male,15-19 years,Regional council,Total,495628
Lx,2.50%,09 Wellington region,Male,20-24 years,Regional council,Total,493944
Lx,2.50%,09 Wellington region,Male,25-29 years,Regional council,Total,492018
Lx,2.50%,09 Wellington region,Male,30-34 years,Regional council,Total,490119
Lx,2.50%,09 Wellington region,Male,35-39 years,Regional council,Total,487800
Lx,2.50%,09 Wellington region,Male,40-44 years,Regional council,Total,484806
Lx,2.50%,09 Wellington region,Male,45-49 years,Regional council,Total,480663
Lx,2.50%,09 Wellington region,Male,50-54 years,Regional council,Total,474120
Lx,2.50%,09 Wellington region,Male,55-59 years,Regional council,Total,464126
Lx,2.50%,09 Wellington region,Male,60-64 years,Regional council,Total,449312
Lx,2.50%,09 Wellington region,Male,65-69 years,Regional council,Total,426538
Lx,2.50%,09 Wellington region,Male,70-74 years,Regional council,Total,393344
Lx,2.50%,09 Wellington region,Male,75-79 years,Regional council,Total,340961
Lx,2.50%,09 Wellington region,Male,80-84 years,Regional council,Total,260325
Lx,2.50%,09 Wellington region,Male,85-89 years,Regional council,Total,161271
Lx,2.50%,09 Wellington region,Male,90 years and over,Regional council,Total,91922
Lx,50%,09 Wellington region,Female,0 years,Regional council,Total,99640
Lx,50%,09 Wellington region,Female,1-4 years,Regional council,Total,398278
Lx,50%,09 Wellington region,Female,5-9 years,Regional council,Total,497603
Lx,50%,09 Wellington region,Female,10-14 years,Regional council,Total,497353
Lx,50%,09 Wellington region,Female,15-19 years,Regional council,Total,496860
Lx,50%,09 Wellington region,Female,20-24 years,Regional council,Total,496072
Lx,50%,09 Wellington region,Female,25-29 years,Regional council,Total,495205
Lx,50%,09 Wellington region,Female,30-34 years,Regional council,Total,494215
Lx,50%,09 Wellington region,Female,35-39 years,Regional council,Total,492916
Lx,50%,09 Wellington region,Female,40-44 years,Regional council,Total,491108
Lx,50%,09 Wellington region,Female,45-49 years,Regional council,Total,488255
Lx,50%,09 Wellington region,Female,50-54 years,Regional council,Total,483820
Lx,50%,09 Wellington region,Female,55-59 years,Regional council,Total,477164
Lx,50%,09 Wellington region,Female,60-64 years,Regional council,Total,467022
Lx,50%,09 Wellington region,Female,65-69 years,Regional council,Total,451672
Lx,50%,09 Wellington region,Female,70-74 years,Regional council,Total,427519
Lx,50%,09 Wellington region,Female,75-79 years,Regional council,Total,387920
Lx,50%,09 Wellington region,Female,80-84 years,Regional council,Total,325180
Lx,50%,09 Wellington region,Female,85-89 years,Regional council,Total,231090
Lx,50%,09 Wellington region,Female,90 years and over,Regional council,Total,164490
Lx,50%,09 Wellington region,Male,0 years,Regional council,Total,99583
Lx,50%,09 Wellington region,Male,1-4 years,Regional council,Total,398036
Lx,50%,09 Wellington region,Male,5-9 years,Regional council,Total,497245
Lx,50%,09 Wellington region,Male,10-14 years,Regional council,Total,496916
Lx,50%,09 Wellington region,Male,15-19 years,Regional council,Total,496099
Lx,50%,09 Wellington region,Male,20-24 years,Regional council,Total,494505
Lx,50%,09 Wellington region,Male,25-29 years,Regional council,Total,492675
Lx,50%,09 Wellington region,Male,30-34 years,Regional council,Total,490844
Lx,50%,09 Wellington region,Male,35-39 years,Regional council,Total,488654
Lx,50%,09 Wellington region,Male,40-44 years,Regional council,Total,485804
Lx,50%,09 Wellington region,Male,45-49 years,Regional council,Total,481862
Lx,50%,09 Wellington region,Male,50-54 years,Regional council,Total,475565
Lx,50%,09 Wellington region,Male,55-59 years,Regional council,Total,465968
Lx,50%,09 Wellington region,Male,60-64 years,Regional council,Total,451563
Lx,50%,09 Wellington region,Male,65-69 years,Regional council,Total,429417
Lx,50%,09 Wellington region,Male,70-74 years,Regional council,Total,396954
Lx,50%,09 Wellington region,Male,75-79 years,Regional council,Total,345428
Lx,50%,09 Wellington region,Male,80-84 years,Regional council,Total,265693
Lx,50%,09 Wellington region,Male,85-89 years,Regional council,Total,166950
Lx,50%,09 Wellington region,Male,90 years and over,Regional council,Total,100503
Lx,97.50%,09 Wellington region,Female,0 years,Regional council,Total,99699
Lx,97.50%,09 Wellington region,Female,1-4 years,Regional council,Total,398542
Lx,97.50%,09 Wellington region,Female,5-9 years,Regional council,Total,497944
Lx,97.50%,09 Wellington region,Female,10-14 years,Regional council,Total,497707
Lx,97.50%,09 Wellington region,Female,15-19 years,Regional council,Total,497244
Lx,97.50%,09 Wellington region,Female,20-24 years,Regional council,Total,496490
Lx,97.50%,09 Wellington region,Female,25-29 years,Regional council,Total,495700
Lx,97.50%,09 Wellington region,Female,30-34 years,Regional council,Total,494743
Lx,97.50%,09 Wellington region,Female,35-39 years,Regional council,Total,493506
Lx,97.50%,09 Wellington region,Female,40-44 years,Regional council,Total,491771
Lx,97.50%,09 Wellington region,Female,45-49 years,Regional council,Total,489049
Lx,97.50%,09 Wellington region,Female,50-54 years,Regional council,Total,484820
Lx,97.50%,09 Wellington region,Female,55-59 years,Regional council,Total,478479
Lx,97.50%,09 Wellington region,Female,60-64 years,Regional council,Total,468752
Lx,97.50%,09 Wellington region,Female,65-69 years,Regional council,Total,453895
Lx,97.50%,09 Wellington region,Female,70-74 years,Regional council,Total,430397
Lx,97.50%,09 Wellington region,Female,75-79 years,Regional council,Total,391808
Lx,97.50%,09 Wellington region,Female,80-84 years,Regional council,Total,330059
Lx,97.50%,09 Wellington region,Female,85-89 years,Regional council,Total,236725
Lx,97.50%,09 Wellington region,Female,90 years and over,Regional council,Total,175882
Lx,97.50%,09 Wellington region,Male,0 years,Regional council,Total,99648
Lx,97.50%,09 Wellington region,Male,1-4 years,Regional council,Total,398316
Lx,97.50%,09 Wellington region,Male,5-9 years,Regional council,Total,497613
Lx,97.50%,09 Wellington region,Male,10-14 years,Regional council,Total,497301
Lx,97.50%,09 Wellington region,Male,15-19 years,Regional council,Total,496517
Lx,97.50%,09 Wellington region,Male,20-24 years,Regional council,Total,494999
Lx,97.50%,09 Wellington region,Male,25-29 years,Regional council,Total,493285
Lx,97.50%,09 Wellington region,Male,30-34 years,Regional council,Total,491579
Lx,97.50%,09 Wellington region,Male,35-39 years,Regional council,Total,489500
Lx,97.50%,09 Wellington region,Male,40-44 years,Regional council,Total,486780
Lx,97.50%,09 Wellington region,Male,45-49 years,Regional council,Total,483043
Lx,97.50%,09 Wellington region,Male,50-54 years,Regional council,Total,476972
Lx,97.50%,09 Wellington region,Male,55-59 years,Regional council,Total,467797
Lx,97.50%,09 Wellington region,Male,60-64 years,Regional council,Total,453819
Lx,97.50%,09 Wellington region,Male,65-69 years,Regional council,Total,432160
Lx,97.50%,09 Wellington region,Male,70-74 years,Regional council,Total,400535
Lx,97.50%,09 Wellington region,Male,75-79 years,Regional council,Total,349900
Lx,97.50%,09 Wellington region,Male,80-84 years,Regional council,Total,271133
Lx,97.50%,09 Wellington region,Male,85-89 years,Regional council,Total,172624
Lx,97.50%,09 Wellington region,Male,90 years and over,Regional council,Total,109395
Lx,2.50%,12 West Coast region,Female,0 years,Regional council,Total,99439
Lx,2.50%,12 West Coast region,Female,1-4 years,Regional council,Total,397359
Lx,2.50%,12 West Coast region,Female,5-9 years,Regional council,Total,496386
Lx,2.50%,12 West Coast region,Female,10-14 years,Regional council,Total,496067
Lx,2.50%,12 West Coast region,Female,15-19 years,Regional council,Total,495429
Lx,2.50%,12 West Coast region,Female,20-24 years,Regional council,Total,494374
Lx,2.50%,12 West Coast region,Female,25-29 years,Regional council,Total,493196
Lx,2.50%,12 West Coast region,Female,30-34 years,Regional council,Total,491874
Lx,2.50%,12 West Coast region,Female,35-39 years,Regional council,Total,490148
Lx,2.50%,12 West Coast region,Female,40-44 years,Regional council,Total,487692
Lx,2.50%,12 West Coast region,Female,45-49 years,Regional council,Total,483899
Lx,2.50%,12 West Coast region,Female,50-54 years,Regional council,Total,477807
Lx,2.50%,12 West Coast region,Female,55-59 years,Regional council,Total,468958
Lx,2.50%,12 West Coast region,Female,60-64 years,Regional council,Total,455903
Lx,2.50%,12 West Coast region,Female,65-69 years,Regional council,Total,436503
Lx,2.50%,12 West Coast region,Female,70-74 years,Regional council,Total,407631
Lx,2.50%,12 West Coast region,Female,75-79 years,Regional council,Total,362457
Lx,2.50%,12 West Coast region,Female,80-84 years,Regional council,Total,289290
Lx,2.50%,12 West Coast region,Female,85-89 years,Regional council,Total,189501
Lx,2.50%,12 West Coast region,Female,90 years and over,Regional council,Total,104793
Lx,2.50%,12 West Coast region,Male,0 years,Regional council,Total,99381
Lx,2.50%,12 West Coast region,Male,1-4 years,Regional council,Total,397085
Lx,2.50%,12 West Coast region,Male,5-9 years,Regional council,Total,495950
Lx,2.50%,12 West Coast region,Male,10-14 years,Regional council,Total,495512
Lx,2.50%,12 West Coast region,Male,15-19 years,Regional council,Total,494452
Lx,2.50%,12 West Coast region,Male,20-24 years,Regional council,Total,492303
Lx,2.50%,12 West Coast region,Male,25-29 years,Regional council,Total,489739
Lx,2.50%,12 West Coast region,Male,30-34 years,Regional council,Total,487016
Lx,2.50%,12 West Coast region,Male,35-39 years,Regional council,Total,483793
Lx,2.50%,12 West Coast region,Male,40-44 years,Regional council,Total,479640
Lx,2.50%,12 West Coast region,Male,45-49 years,Regional council,Total,473849
Lx,2.50%,12 West Coast region,Male,50-54 years,Regional council,Total,465066
Lx,2.50%,12 West Coast region,Male,55-59 years,Regional council,Total,451851
Lx,2.50%,12 West Coast region,Male,60-64 years,Regional council,Total,433375
Lx,2.50%,12 West Coast region,Male,65-69 years,Regional council,Total,407845
Lx,2.50%,12 West Coast region,Male,70-74 years,Regional council,Total,370080
Lx,2.50%,12 West Coast region,Male,75-79 years,Regional council,Total,311049
Lx,2.50%,12 West Coast region,Male,80-84 years,Regional council,Total,230827
Lx,2.50%,12 West Coast region,Male,85-89 years,Regional council,Total,136792
Lx,2.50%,12 West Coast region,Male,90 years and over,Regional council,Total,64259
Lx,50%,12 West Coast region,Female,0 years,Regional council,Total,99546
Lx,50%,12 West Coast region,Female,1-4 years,Regional council,Total,397832
Lx,50%,12 West Coast region,Female,5-9 years,Regional council,Total,496993
Lx,50%,12 West Coast region,Female,10-14 years,Regional council,Total,496692
Lx,50%,12 West Coast region,Female,15-19 years,Regional council,Total,496099
Lx,50%,12 West Coast region,Female,20-24 years,Regional council,Total,495123
Lx,50%,12 West Coast region,Female,25-29 years,Regional council,Total,494031
Lx,50%,12 West Coast region,Female,30-34 years,Regional council,Total,492802
Lx,50%,12 West Coast region,Female,35-39 years,Regional council,Total,491204
Lx,50%,12 West Coast region,Female,40-44 years,Regional council,Total,488925
Lx,50%,12 West Coast region,Female,45-49 years,Regional council,Total,485484
Lx,50%,12 West Coast region,Female,50-54 years,Regional council,Total,479883
Lx,50%,12 West Coast region,Female,55-59 years,Regional council,Total,471708
Lx,50%,12 West Coast region,Female,60-64 years,Regional council,Total,459731
Lx,50%,12 West Coast region,Female,65-69 years,Regional council,Total,441849
Lx,50%,12 West Coast region,Female,70-74 years,Regional council,Total,415080
Lx,50%,12 West Coast region,Female,75-79 years,Regional council,Total,372598
Lx,50%,12 West Coast region,Female,80-84 years,Regional council,Total,302544
Lx,50%,12 West Coast region,Female,85-89 years,Regional council,Total,204772
Lx,50%,12 West Coast region,Female,90 years and over,Regional council,Total,127746
Lx,50%,12 West Coast region,Male,0 years,Regional council,Total,99492
Lx,50%,12 West Coast region,Male,1-4 years,Regional council,Total,397588
Lx,50%,12 West Coast region,Male,5-9 years,Regional council,Total,496606
Lx,50%,12 West Coast region,Male,10-14 years,Regional council,Total,496200
Lx,50%,12 West Coast region,Male,15-19 years,Regional council,Total,495191
Lx,50%,12 West Coast region,Male,20-24 years,Regional council,Total,493234
Lx,50%,12 West Coast region,Male,25-29 years,Regional council,Total,490872
Lx,50%,12 West Coast region,Male,30-34 years,Regional council,Total,488332
Lx,50%,12 West Coast region,Male,35-39 years,Regional council,Total,485367
Lx,50%,12 West Coast region,Male,40-44 years,Regional council,Total,481597
Lx,50%,12 West Coast region,Male,45-49 years,Regional council,Total,476319
Lx,50%,12 West Coast region,Male,50-54 years,Regional council,Total,468179
Lx,50%,12 West Coast region,Male,55-59 years,Regional council,Total,455898
Lx,50%,12 West Coast region,Male,60-64 years,Regional council,Total,438577
Lx,50%,12 West Coast region,Male,65-69 years,Regional council,Total,414706
Lx,50%,12 West Coast region,Male,70-74 years,Regional council,Total,379011
Lx,50%,12 West Coast region,Male,75-79 years,Regional council,Total,322283
Lx,50%,12 West Coast region,Male,80-84 years,Regional council,Total,244069
Lx,50%,12 West Coast region,Male,85-89 years,Regional council,Total,150555
Lx,50%,12 West Coast region,Male,90 years and over,Regional council,Total,81576
Lx,97.50%,12 West Coast region,Female,0 years,Regional council,Total,99632
Lx,97.50%,12 West Coast region,Female,1-4 years,Regional council,Total,398220
Lx,97.50%,12 West Coast region,Female,5-9 years,Regional council,Total,497493
Lx,97.50%,12 West Coast region,Female,10-14 years,Regional council,Total,497209
Lx,97.50%,12 West Coast region,Female,15-19 years,Regional council,Total,496660
Lx,97.50%,12 West Coast region,Female,20-24 years,Regional council,Total,495758
Lx,97.50%,12 West Coast region,Female,25-29 years,Regional council,Total,494732
Lx,97.50%,12 West Coast region,Female,30-34 years,Regional council,Total,493586
Lx,97.50%,12 West Coast region,Female,35-39 years,Regional council,Total,492088
Lx,97.50%,12 West Coast region,Female,40-44 years,Regional council,Total,490007
Lx,97.50%,12 West Coast region,Female,45-49 years,Regional council,Total,486849
Lx,97.50%,12 West Coast region,Female,50-54 years,Regional council,Total,481760
Lx,97.50%,12 West Coast region,Female,55-59 years,Regional council,Total,474281
Lx,97.50%,12 West Coast region,Female,60-64 years,Regional council,Total,463053
Lx,97.50%,12 West Coast region,Female,65-69 years,Regional council,Total,446496
Lx,97.50%,12 West Coast region,Female,70-74 years,Regional council,Total,421794
Lx,97.50%,12 West Coast region,Female,75-79 years,Regional council,Total,381711
Lx,97.50%,12 West Coast region,Female,80-84 years,Regional council,Total,315075
Lx,97.50%,12 West Coast region,Female,85-89 years,Regional council,Total,219191
Lx,97.50%,12 West Coast region,Female,90 years and over,Regional council,Total,154468
Lx,97.50%,12 West Coast region,Male,0 years,Regional council,Total,99588
Lx,97.50%,12 West Coast region,Male,1-4 years,Regional council,Total,398016
Lx,97.50%,12 West Coast region,Male,5-9 years,Regional council,Total,497171
Lx,97.50%,12 West Coast region,Male,10-14 years,Regional council,Total,496792
Lx,97.50%,12 West Coast region,Male,15-19 years,Regional council,Total,495834
Lx,97.50%,12 West Coast region,Male,20-24 years,Regional council,Total,494044
Lx,97.50%,12 West Coast region,Male,25-29 years,Regional council,Total,491890
Lx,97.50%,12 West Coast region,Male,30-34 years,Regional council,Total,489541
Lx,97.50%,12 West Coast region,Male,35-39 years,Regional council,Total,486823
Lx,97.50%,12 West Coast region,Male,40-44 years,Regional council,Total,483324
Lx,97.50%,12 West Coast region,Male,45-49 years,Regional council,Total,478509
Lx,97.50%,12 West Coast region,Male,50-54 years,Regional council,Total,471026
Lx,97.50%,12 West Coast region,Male,55-59 years,Regional council,Total,459690
Lx,97.50%,12 West Coast region,Male,60-64 years,Regional council,Total,443659
Lx,97.50%,12 West Coast region,Male,65-69 years,Regional council,Total,421050
Lx,97.50%,12 West Coast region,Male,70-74 years,Regional council,Total,387369
Lx,97.50%,12 West Coast region,Male,75-79 years,Regional council,Total,333191
Lx,97.50%,12 West Coast region,Male,80-84 years,Regional council,Total,257695
Lx,97.50%,12 West Coast region,Male,85-89 years,Regional council,Total,164391
Lx,97.50%,12 West Coast region,Male,90 years and over,Regional council,Total,102771
Lx,2.50%,13 Canterbury region,Female,0 years,Regional council,Total,99531
Lx,2.50%,13 Canterbury region,Female,1-4 years,Regional council,Total,397801
Lx,2.50%,13 Canterbury region,Female,5-9 years,Regional council,Total,496997
Lx,2.50%,13 Canterbury region,Female,10-14 years,Regional council,Total,496736
Lx,2.50%,13 Canterbury region,Female,15-19 years,Regional council,Total,496210
Lx,2.50%,13 Canterbury region,Female,20-24 years,Regional council,Total,495379
Lx,2.50%,13 Canterbury region,Female,25-29 years,Regional council,Total,494457
Lx,2.50%,13 Canterbury region,Female,30-34 years,Regional council,Total,493357
Lx,2.50%,13 Canterbury region,Female,35-39 years,Regional council,Total,491916
Lx,2.50%,13 Canterbury region,Female,40-44 years,Regional council,Total,489914
Lx,2.50%,13 Canterbury region,Female,45-49 years,Regional council,Total,487009
Lx,2.50%,13 Canterbury region,Female,50-54 years,Regional council,Total,482405
Lx,2.50%,13 Canterbury region,Female,55-59 years,Regional council,Total,475626
Lx,2.50%,13 Canterbury region,Female,60-64 years,Regional council,Total,465719
Lx,2.50%,13 Canterbury region,Female,65-69 years,Regional council,Total,450757
Lx,2.50%,13 Canterbury region,Female,70-74 years,Regional council,Total,427704
Lx,2.50%,13 Canterbury region,Female,75-79 years,Regional council,Total,388474
Lx,2.50%,13 Canterbury region,Female,80-84 years,Regional council,Total,323471
Lx,2.50%,13 Canterbury region,Female,85-89 years,Regional council,Total,228194
Lx,2.50%,13 Canterbury region,Female,90 years and over,Regional council,Total,164660
Lx,2.50%,13 Canterbury region,Male,0 years,Regional council,Total,99530
Lx,2.50%,13 Canterbury region,Male,1-4 years,Regional council,Total,397783
Lx,2.50%,13 Canterbury region,Male,5-9 years,Regional council,Total,496890
Lx,2.50%,13 Canterbury region,Male,10-14 years,Regional council,Total,496549
Lx,2.50%,13 Canterbury region,Male,15-19 years,Regional council,Total,495672
Lx,2.50%,13 Canterbury region,Male,20-24 years,Regional council,Total,493933
Lx,2.50%,13 Canterbury region,Male,25-29 years,Regional council,Total,491773
Lx,2.50%,13 Canterbury region,Male,30-34 years,Regional council,Total,489523
Lx,2.50%,13 Canterbury region,Male,35-39 years,Regional council,Total,486960
Lx,2.50%,13 Canterbury region,Male,40-44 years,Regional council,Total,483678
Lx,2.50%,13 Canterbury region,Male,45-49 years,Regional council,Total,479181
Lx,2.50%,13 Canterbury region,Male,50-54 years,Regional council,Total,472748
Lx,2.50%,13 Canterbury region,Male,55-59 years,Regional council,Total,462690
Lx,2.50%,13 Canterbury region,Male,60-64 years,Regional council,Total,447383
Lx,2.50%,13 Canterbury region,Male,65-69 years,Regional council,Total,425566
Lx,2.50%,13 Canterbury region,Male,70-74 years,Regional council,Total,391687
Lx,2.50%,13 Canterbury region,Male,75-79 years,Regional council,Total,339523
Lx,2.50%,13 Canterbury region,Male,80-84 years,Regional council,Total,264845
Lx,2.50%,13 Canterbury region,Male,85-89 years,Regional council,Total,166911
Lx,2.50%,13 Canterbury region,Male,90 years and over,Regional council,Total,92226
Lx,50%,13 Canterbury region,Female,0 years,Regional council,Total,99601
